True,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
SP.POP.6064.MA.5Y,0.0,0.0040572882381226805,0.01818217571163072,0.03975539466891975,0.06564770134277276,0.0942587062884972,0.12085220067944169,0.1505944374563224,0.18197998369153612,0.21335810959964419,0.24353998095256002,0.2657908912525615,0.2872438003444524,0.3083054779380865,0.329212411324844,0.34992910443166014,0.36307240069225366,0.37935670640721186,0.39796867272803804,0.41748249238729973,0.437539880216679,0.45348120596132513,0.47027251828525607,0.4932932307348672,0.5300832903810515,0.5842372918855463,0.6426918206504522,0.7164707881388934,0.8030260375009548,0.8985229893591047,1.0
SP.POP.1564.MA.IN,0.0,0.03105513162778184,0.06398382430460625,0.09772253842507594,0.13072388569703652,0.16227256265966972,0.19328047582716978,0.22277852251470343,0.25145713217276167,0.2805165811979744,0.3105726770098516,0.3405408003332273,0.3707447348957491,0.4014649808364721,0.43292751221531733,0.46523013870001106,0.4964165264048861,0.5294074743730941,0.5634675831919707,0.5975446962777939,0.6312333813153461,0.6673854365620688,0.7024659419288826,0.7372011623048849,0.7728643097441055,0.8099639664124973,0.8469521818933787,0.8859213242079911,0.9256480698540908,0.964051574363243,0.9999999999999998
SP.POP.TOTL.FE.IN,0.0,0.031980382381847194,0.06464854670177633,0.09785798569612014,0.13141194897620667,0.16516635699239157,0.19902304565590656,0.2330186417826683,0.2673067246728471,0.30211307173061064,0.3375741627051827,0.37371976348154456,0.4104059000628355,0.44739360094693503,0.4843575524547197,0.5210379891856951,0.5573127865692105,0.593167378321126,0.6285763262205888,0.6635508188626622,0.6980786121244471,0.732139545424271,0.7656416822875991,0.7984187770802265,0.8302677462464636,0.8610501045341994,0.8908679214851951,0.9198106003071798,0.9477394446424732,0.9744744869949999,0.9999999999999998
SP.DYN.CBRT.IN,1.0,0.9689255739751683,0.9352847333009642,0.9010889921620309,0.8671013386973714,0.834709024068808,0.8055073871124367,0.7797045155025317,0.7572310466810015,0.7373933550669349,0.7183880141499619,0.6981341471873483,0.674620239994451,0.6465977665256295,0.6137892765485191,0.5767496705278492,0.5369355621835334,0.4963584657002149,0.4565443573558994,0.41784004994104196,0.3798987306651871,0.3416799611569674,0.3020045779288343,0.260525768190331,0.21765970729000506,0.1745161961573145,0.13255184851217328,0.09329264063258669,0.05777901088992188,0.026565859748907572,0.0
SP.URB.GROW,1.0,0.9778078714201687,0.9588125255428598,0.9360825541027155,0.9081486178275991,0.8767364508409251,0.7515534574622952,0.6876418941034989,0.6659905199347108,0.6505992099897254,0.6409262375789618,0.6305284683794877,0.6187982847955512,0.5965227340588638,0.5676177717575578,0.5329809987340147,0.49769939477772873,0.46057577243054737,0.4288472108420426,0.39979460999129623,0.371925658683952,0.3451779244437506,0.31710749568286467,0.28397654999077926,0.24364943803886507,0.1994701020800268,0.15902389992199029,0.12180316787479406,0.08307797105614079,0.04134664292017687,0.0
SP.DYN.TFRT.IN,1.0000000000000002,0.9393776824034339,0.8798283261802573,0.8234978540772531,0.7714592274678114,0.724785407725322,0.6850858369098711,0.6523605150214593,0.6255364806866952,0.6035407725321889,0.584763948497854,0.5659871244635193,0.546137339055794,0.5236051502145922,0.49678111587982854,0.46673819742489275,0.43454935622317614,0.4023605150214593,0.3707081545064379,0.3406652360515021,0.311158798283262,0.2811158798283262,0.2500000000000002,0.21620171673819755,0.18133047210300446,0.1453862660944205,0.11051502145922742,0.0777896995708156,0.04774678111587982,0.021995708154506577,0.0
SP.POP.TOTL,0.0,0.03253431863034284,0.0655661760102817,0.09898788851180518,0.13266546560943504,0.1665022485575005,0.2004111298697846,0.2344102296499364,0.2686370314554629,0.30329282125702095,0.3384999643328681,0.37429038917889224,0.41054369534735224,0.44704064049981795,0.4834831161840851,0.5196392723992451,0.5553854885586555,0.5907205639325559,0.6256783918473503,0.6603446061663694,0.6947562657762929,0.7289219940999412,0.7627283767536315,0.795939961547175,0.828254928681837,0.8594617859840015,0.8896530442238046,0.9189405350047926,0.9471827905298005,0.9742036855745035,1.0
SP.POP.65UP.FE.ZS,0.0,0.01573509315994137,0.031378131191708736,0.047286530855171094,0.06385273260660673,0.08157518614667758,0.10338081211886796,0.12566239815257152,0.1488734062990169,0.17358618619769994,0.20012441075128673,0.22784110458985163,0.2559026389753767,0.2850067250751638,0.31597509895939657,0.34932281124419595,0.3834108092042925,0.42014648891149275,0.4587299013668702,0.4977826338105671,0.5368436015064437,0.5776588083864869,0.6178058479653241,0.6583757797455503,0.7008844642934817,0.7463938020298233,0.7896800361328857,0.8360246048835671,0.8861670537186115,0.9405738383576387,0.9999999999999998
SP.POP.80UP.FE.5Y,0.0,0.025181701381287613,0.04579253599276878,0.06141415411871887,0.07202458697761005,0.078288435717774,0.10772446214969378,0.1315772170196845,0.15128072612710908,0.1690117922576121,0.1860194071407717,0.22735480556587606,0.2649169906143415,0.29715512803147015,0.32263695204536125,0.34170596969108713,0.37924484863808505,0.4108776130636905,0.4384071611342767,0.4635342660316465,0.48778755148545205,0.5357151051849373,0.5791208173006018,0.6198240997786494,0.6601999199964431,0.7021929951240892,0.7655369041038514,0.8261416528949989,0.8848869344117697,0.9423811323221981,1.0
SP.POP.4549.FE.5Y,0.0,0.0013805765688332805,0.0036428359472988614,0.006779905489690874,0.010730882369567984,0.015924108913281998,0.021898369242709714,0.029765598732606646,0.04129139420067296,0.05885306777203736,0.08355603283527002,0.11145882284920905,0.1441042768329519,0.18216680335491842,0.2266346866929243,0.2774776228948783,0.33210458463748527,0.3947150319758528,0.45941130002277863,0.5177480610315586,0.5652327417148997,0.6062326398279501,0.6353433303642277,0.6595940559513407,0.689912327979854,0.7319301974427819,0.7812105934608842,0.8411801956035823,0.9044282203675675,0.9595741510099676,1.0
